day_id,city_id,temperature_celsius,wind_kph,wind_degree,pressure_mb,precip_mm,humidity,cloud,feels_like_celsius,visibility_km,uv_index,gust_kph,air_quality_us-epa-index,sunrise_num,sunset_num
D0001,C001,0.6170212765957446,0.03541076487252123,0.5821727019498608,0.4444444444444464,0.0,0.5106382978723404,0.75,0.41463414634146345,0.3125,0.5555555555555556,0.14953271028037385,0.2,0.31176470588235294,0.5427135678391961
D0002,C001,0.5106382978723404,0.03541076487252123,0.47075208913649025,0.4444444444444464,0.0,0.7127659574468085,0.75,0.36970474967907574,0.3125,0.0,0.3030707610146863,0.0,0.3176470588235294,0.5376884422110546
D0005,C001,0.425531914893617,0.0,0.25348189415041783,0.6851851851851869,0.0,0.9361702127659575,0.0,0.2862644415917843,0.3125,0.0,0.1108144192256342,0.0,0.3294117647058823,0.5226130653266328
D0006,C001,0.46808510638297873,0.0,0.2646239554317549,0.6851851851851869,0.0,0.8723404255319149,0.0,0.3119383825417201,0.3125,0.0,0.14018691588785048,0.0,0.3294117647058823,0.5125628140703515
D0008,C001,0.48936170212765956,0.235127478753541,0.9164345403899722,0.5370370370370381,0.0,0.5,0.75,0.3247753530166881,0.3125,0.0,0.2216288384512684,0.0,0.3411764705882352,0.4974874371859297
D0009,C001,0.5319148936170213,0.0,0.1727019498607242,0.5740740740740762,0.0,0.43617021276595747,0.75,0.3735558408215661,0.3125,0.0,0.26435246995994666,0.0,0.34705882352941164,0.4874371859296476
D0010,C001,0.553191489361702,0.16288951841359772,0.9164345403899722,0.5925925925925917,0.0,0.5106382978723404,0.75,0.37997432605905007,0.3125,0.0,0.12016021361815754,0.0,0.3529411764705881,0.47738693467336635
D0011,C001,0.5319148936170213,0.04532577903682719,0.8885793871866295,0.5925925925925917,0.0,0.5425531914893617,0.0,0.3735558408215661,0.3125,0.0,0.2403204272363151,0.0,0.35882352941176454,0.4673366834170851
D0012,C001,0.44680851063829785,0.0,0.21727019498607242,0.5925925925925917,0.0,0.7127659574468085,0.0,0.2991014120667523,0.3125,0.0,0.23097463284379177,0.0,0.364705882352941,0.4623115577889445
D0013,C001,0.425531914893617,0.0,0.2033426183844011,0.6111111111111107,0.0,0.8191489361702128,0.0,0.2862644415917843,0.3125,0.0,0.18291054739652873,0.0,0.3705882352941179,0.4522613065326633
