temperature_celsius,condition_text,wind_kph,wind_degree,pressure_mb,precip_mm,humidity,cloud,feels_like_celsius,visibility_km,uv_index,gust_kph,air_quality_us-epa-index,sunrise_num,sunset_num
0.46875,0,0.0,0.016853932584269662,0.470588235294116,0.22959183673469385,0.9999999999999999,0.75,0.3712574850299401,0.3081761006289308,0.0,0.18769716088328076,0.0,0.30246913580246915,0.5276381909547734
0.375,1,0.04512635379061371,0.4101123595505618,0.6764705882352935,0.0,0.875,0.0,0.311377245508982,0.3081761006289308,0.0,0.165615141955836,0.0,0.308641975308642,0.5175879396984921
0.5,2,0.0072202166064981865,0.8595505617977528,0.588235294117645,0.0,0.9999999999999999,0.5,0.39121756487025944,0.3081761006289308,0.0,0.2271293375394322,0.2,0.32098765432098775,0.4924623115577891
0.4375,1,0.0,0.16853932584269662,0.6470588235294095,0.0,0.875,0.0,0.35129740518962077,0.3081761006289308,0.0,0.11987381703470033,0.4000000000000001,0.3950617283950617,0.391959798994975
0.4375,2,0.0,0.22191011235955055,0.4411764705882355,0.0,0.71875,0.25,0.35129740518962077,0.3081761006289308,0.0,0.11987381703470033,0.0,0.3765432098765431,0.5376884422110555
0.625,2,0.04512635379061371,0.18539325842696627,0.588235294117645,0.0,0.8229166666666666,0.25,0.5109780439121757,0.3081761006289308,0.0,0.2618296529968455,0.0,0.4012345679012346,0.4924623115577891
0.625,0,0.0,0.3848314606741573,0.617647058823529,0.0,0.8229166666666666,0.5,0.49700598802395207,0.24528301886792453,0.0,0.21608832807570982,0.0,0.4382716049382718,0.43718592964824143
0.75,3,0.20758122743682308,0.24157303370786518,0.588235294117645,0.01530612244897959,0.78125,0.75,0.6506986027944112,0.3081761006289308,0.0,0.5788643533123029,0.0,0.2283950617283952,0.25125628140703515
0.75,4,0.20758122743682308,0.2696629213483146,0.588235294117645,0.00510204081632653,0.78125,0.5,0.6526946107784432,0.3081761006289308,0.0,0.5173501577287066,0.0,0.23456790123456805,0.24623115577889454
0.6875,4,0.04512635379061371,0.2696629213483146,0.588235294117645,0.00510204081632653,0.78125,0.62,0.5688622754491018,0.3081761006289308,0.0,0.4889589905362777,0.0,0.23456790123456805,0.2261306532663312
0.75,2,0.09747292418772563,0.18539325842696627,0.5,0.012244897959183671,0.6875,0.25,0.6367265469061876,0.3081761006289308,0.625,0.33911671924290226,0.0,0.2469135802469138,0.17587939698492416
0.75,4,0.09747292418772563,0.2696629213483146,0.5,0.001020408163265306,0.7395833333333334,0.5,0.6387225548902196,0.3081761006289308,0.625,0.46845425867507895,0.0,0.2469135802469138,0.1557788944723617
0.1875,1,0.20758122743682308,0.21348314606741572,0.705882352941174,0.0,0.8125,0.0,0.16966067864271459,0.3081761006289308,0.0,0.2728706624605679,0.0,0.7469135802469138,0.3115577889447234
0.1875,4,0.20758122743682308,0.4662921348314607,0.5294117647058805,0.01020408163265306,0.9375,1.0,0.15568862275449102,0.3081761006289308,0.0,0.329652996845426,0.0,0.7098765432098766,0.32160804020100464
0.21875,1,0.37003610108303253,0.3258426966292135,0.735294117647058,0.0,0.7604166666666666,0.0,0.16966067864271459,0.3081761006289308,0.0,0.49369085173501587,0.0,0.6851851851851851,0.33668341708542737
0.34375,1,0.4422382671480144,0.4382022471910112,0.470588235294116,0.002040816326530612,0.4895833333333333,0.0,0.29141716566866266,0.3081761006289308,0.0,0.5141955835962145,0.0,0.5864197530864197,0.37185929648241167
0.3125,2,0.4422382671480144,0.3258426966292135,0.705882352941174,0.0,0.7604166666666666,0.75,0.2475049900199601,0.3081761006289308,0.0,0.3974763406940064,0.0,0.574074074074074,0.3819095477386938
0.34375,3,0.299638989169675,0.3258426966292135,0.5588235294117645,0.004081632653061224,0.9375,1.0,0.29141716566866266,0.07232704402515723,0.0,0.39274447949526825,0.0,0.5617283950617287,0.3819095477386938
0.59375,1,0.09747292418772563,0.10112359550561797,0.588235294117645,0.0,0.3333333333333333,0.0,0.47504990019960075,0.3081761006289308,0.0,0.34700315457413256,0.0,0.44444444444444464,0.6180904522613062
0.625,1,0.27978339350180503,1.0,0.5,0.0,0.3645833333333333,0.0,0.4930139720558882,0.3081761006289308,0.0,0.2791798107255521,0.0,0.48765432098765427,0.5628140703517586
0.28125,3,0.0,0.016853932584269662,0.6470588235294095,0.0,0.9375,0.75,0.25748502994011974,0.18238993710691825,0.0,0.08044164037854891,0.0,0.5123456790123457,0.5226130653266328
0.40625,1,0.0,0.016853932584269662,0.6764705882352935,0.0,0.3645833333333333,0.0,0.3313373253493014,0.3081761006289308,0.0,0.38012618296529976,0.0,0.5246913580246915,0.5025125628140703
0.125,1,0.09747292418772563,1.0,0.9117647058823515,0.0,0.9270833333333334,0.0,0.13972055888223556,0.3081761006289308,0.375,0.11356466876971612,0.0,0.30246913580246915,0.10050251256281406
0.34375,1,0.05776173285198555,0.6910112359550561,0.6470588235294095,0.00510204081632653,0.7604166666666666,0.0,0.29141716566866266,0.3081761006289308,0.0,0.194006309148265,0.0,0.3333333333333335,0.6331658291457289
0.375,1,0.13718411552346568,0.6067415730337078,0.6470588235294095,0.0,0.7083333333333334,0.0,0.311377245508982,0.3081761006289308,0.0,0.0993690851735016,0.0,0.49382716049382713,0.43718592964824143
0.875,1,0.09747292418772563,0.24157303370786518,0.1764705882352935,0.0,0.65625,0.0,0.7664670658682634,0.3081761006289308,0.0,0.18138801261829657,0.2,0.006172839506172867,0.13567839195979925
0.90625,1,0.09747292418772563,0.747191011235955,0.235294117647058,0.0,0.44791666666666663,0.0,0.8003992015968064,0.3081761006289308,0.0,0.4369085173501578,0.4000000000000001,0.012345679012345734,0.12562814070351713
0.90625,5,0.09747292418772563,0.550561797752809,0.1764705882352935,0.0,0.7916666666666666,0.0,0.8982035928143712,0.13522012578616352,0.0,0.22239747634069407,0.4000000000000001,0.024691358024691468,0.10050251256281406
0.84375,1,0.13718411552346568,0.8876404494382022,0.26470588235293846,0.0,0.6145833333333334,0.0,0.7105788423153693,0.3081761006289308,0.0,0.3233438485804417,0.2,0.0555555555555558,0.020100502512562457
0.90625,4,0.03249097472924188,0.7162921348314606,0.14705882352940947,0.0,0.49999999999999994,0.7000000000000001,0.7624750499001997,0.3081761006289308,0.75,0.10883280757097794,0.6000000000000001,0.1419753086419755,0.2311557788944727
0.725,3,0.13718411552346568,0.5308988764044943,0.26470588235293846,0.00510204081632653,0.8125,0.8,0.6327345309381238,0.3081761006289308,0.0,0.26656151419558366,0.6000000000000001,0.14814814814814836,0.2261306532663312
0.771875,6,0.07220216606498192,0.6516853932584269,0.235294117647058,0.01020408163265306,0.7291666666666666,0.53,0.6746506986027945,0.3081761006289308,0.0,0.194006309148265,0.4000000000000001,0.15432098765432123,0.21105527638190935
